system,src_sym,tgt_sym,bon_mean,atk_mean,delta,abs_delta
A03,aʊ,aː,0.20910293863647827,0.019764123723823704,-0.18933881491265458,0.18933881491265458
A05,œ̃,e,0.19981488973402947,0.012943229947064377,-0.1868716597869651,0.1868716597869651
A02,ɾ,t,0.00886602740559645,0.19478243657564231,0.18591640917004587,0.18591640917004587
A03,aʊ,ɡ,0.19235094956203921,0.00691587544062329,-0.1854350741214159,0.1854350741214159
A03,œ̃,vʲ,0.22015370119054486,0.03480383726837158,-0.18534986392217329,0.18534986392217329
A01,aʊ,eə,0.19426195100868118,0.009100084411756233,-0.18516186659692496,0.18516186659692496
A05,aʊ,m,0.009069037436042196,0.19253797020403463,0.18346893276799242,0.18346893276799242
A03,aʊ,eə,0.19426195100868118,0.01201292344482668,-0.1822490275638545,0.1822490275638545
A04,aʊ,ɛ̃,0.1921452792608566,0.010642795134934763,-0.18150248412592182,0.18150248412592182
A05,ɾ,ŋ,0.028584148023052723,0.20980853867552754,0.1812243906524748,0.1812243906524748
A05,l,ʊ,0.05049325762206333,0.230777880445598,0.18028462282353466,0.18028462282353466
A04,aʊ,aː,0.20910293863647827,0.03023711911273332,-0.17886581952374495,0.17886581952374495
A06,œ̃,øː,0.018301435252318664,0.19706945296083433,0.17876801770851566,0.17876801770851566
A05,ɔ̃,e,0.020526941353638594,0.19898118962124206,0.17845424826760348,0.17845424826760348
A01,ɾ,øː,0.18396633244803162,0.0055511036349139035,-0.17841522881311772,0.17841522881311772
A05,l,aɪə,0.046331248655697446,0.22381587181887316,0.1774846231631757,0.1774846231631757
A06,aʊ,1,0.18004199138040367,0.0029879216049700412,-0.17705406977543361,0.17705406977543361
A05,iː,ɔ̃,0.027428119961050643,0.203910031668768,0.17648191170771738,0.17648191170771738
A01,aʊ,ɛ̃,0.1921452792608566,0.016048213993843503,-0.17609706526701308,0.17609706526701308
A05,ɾ,x,0.04602767321086836,0.22183434252057216,0.1758066693097038,0.1758066693097038
A02,eɪ,iː,0.0,0.17579683283374808,0.17579683283374808,0.17579683283374808
A01,aʊ,ɡ,0.19235094956203921,0.016818647323705888,-0.17553230223833333,0.17553230223833333
